,Hospital Name,Details Link,Address,City/Area,Description,Contact Info,Photos,Telephone,Email,Street Address,hospital_info,locationAfterConvert
0,Horus Specialist Hospital,https://healtheg.com/ar/Item/39379/--مستشفى-حورس-التخصصي,"Hurghada Department, Red Sea",The Red Sea-Al-Jouna,N/a,,https://healtheg.com//content/images/healtheg_300.png,01126666499,,"Hurghada Department, Red Sea",,Location not found
1,Ajyal Hospital for the treatment of infertility for the couple and microscopic injection,https://healtheg.com/ar/Item/19/-مستشفى-أجيال-لعلاج-العقم-للزوجين-والحقن-المجهري,"2 Al -Farid Layan St., branched from the Roman Camp St. and Syria St., Rushdie, Alexandria",Alexandria-Rashidi,N/a,,https://healtheg.com//content/images/healtheg_300.png,035234235,,"2 Al -Farid Layan St., branched from the Roman Camp St. and Syria St., Rushdie, Alexandria",عن المؤسسةمستشفي اجيال مستشفي متكامل لعلاج العقم للزوجين مع جميع التخصصات المكملة والولادة وكل ما يخص الأم والطفلمستشفي اجيال وفرت أفضل وحدة حضانات لحديثي الولادة:-حضانات على أعلى مستوى تقدر تستقبل الطفل من اول وزن 500 جرام-جهاز تنفس صناعي عالي التردد لعلاج الحالات الحرجة-جهاز الكبسولة الضوئية لعلاج حالات الصفراء الشديدةده غير وجود أكفأ أطباء الأطفال على مدار 24 ساعة للإهتمام بطفلك و رعايته، وكمان عشان تكونى متطمنة لو طفلك لا قدر الله احتاج دخول الحضانة بعد الولادة بنوفرله إقامة مجانية أول 24 ساعة.مستشفي اجيال أول مستشفى مخصص لعلاج العقم عند الذكور والإناث والخدمات المرتبطة به.تحتوي مستشفي اجيال على وحدات التلقيح الاصطناعي / الحقن المجهري ، أمراض النساء والتوليد ، تنظير البطن المتقدم ، وحدة أمراض الذكورة ، وحدة العناية المركزة لحديثي الولادة ، وحدة العناية المركزة ، الجراحة التجميلية ، مختبر علم الأمراض السريري والعيادات الخارجية.مستشفي متكامل لعلاج العقم للزوجين مع جميع التخصصات المكملة:- وحدة متقدمة للحقن المجهري وأطفال الأنابيب- نساء وتوليد- جراحة المناظير المتقدمة- وحدة أمراض الذكورة- وحدة الأطفال المبتسرين- وحدة العناية المركزة و التخدير- معمل التحاليل الطبيةعيادات خارجية :- عيادات علاج العقم و أطفال الانابيب و الحقن المجهري- عيادات النساء وتوليد و متابعة الحمل- عيادات مناظير جراحية- عيادات الذكورة و المسالك البولية- عيادات طب الأطفال و حديثي والولادة- عيادات التغذية العلاجية والصحة العامة- عيادات الباطنة العامة- عيادات تعديل السلوك للاطفالالكلمات الدلالية مستشفي اجيالرقم هاتف مستشفي اجيالعنوان مستشفي اجيالحجز موعد في مستشفي اجيالرقم استقبال مستشفي اجيالمواعيد مستشفي اجيالأطباء مستشفي اجيالتخصصات مستشفي اجيال,Location not found
2,Al -Nahar Specialist Hospital,https://healtheg.com/ar/Item/53640/-مستشفي-النهار-التخصصي,Ahmed Al -Zumar Street - Al -Wafa and Hope - Nasr City - Cairo,Cairo-Nasr Country,N/a,,https://healtheg.com//content/images/healtheg_300.png,02 22740317,,Ahmed Al -Zumar Street - Al -Wafa and Hope - Nasr City - Cairo,عن المؤسسةتقدم مستشفي النهار التخصصي كافة الخدمات الطبية والتشخيصية والعلاجية الامنة عالية الجودة .مستشفى النهار التخصصي واحدة من أعمدة الصحة في مصر والشرق الأوسط.مستشفى النهار التخصصي يسعده تقديم خدماته التشخيصية والعلاجية لكافة التخصصات الطبية من خلال فريق طبي متكامل يضم باقة من أفضل الأطباء في مصر كما نتميز باختيار فريق التمريض على أعلى مستوى من التدريب والخبرة.خدمات المستشفى:-العيادات الخارجية: في جميع التخصصات الطبية.-الأقسام الداخلية: قسم داخلى متكامل ومجهز لاستقبال المرضى.قسم العمليات والعناية المركزة: حسب التوصيات العالمية لمعايير التعقيم والأمان والسلامة.-معمل التحاليل الطبية: مجهز على أعلى مستوى من الجودة والحداثة.-قسم الأشعة: قسم متكامل يستخدم أحدث الأجهزة والتقنيات.-قسم الطوارئ: كامل الاستعداد والتدخل السريع في الحالات الطارئة والحوادث، يعمل ٢٤ ساعة بلا توقف.رؤية مستشفى النهار الصحة أساس الحياة وصحتك مسئوليتنا.تسعى مستشفى النهار بكل ما نمتلك من طاقة وإمكانيات للاهتمام بك وللعناية بصحتكقيم مستشفي النهار التخصصي-السلامة: تطبيق أعلى معايير الجودة للحفاظ على سلامتك وأمانك.-التطوير: دائمًا في تطور وتحديث ومواكبة لكل ما هو جديد للوصول لأعلى مستوى من الخدمة الصحية.-الدقة: فيما يخص تطبيق المعايير الدولية لجميع الخطوات والإجراءات العلاجية، أيضًا في التعقيم والنظافة والمواعيد.الكلمات الدلالية مستشفى النهاررقم هاتف مستشفى النهارعنوان مستشفى النهارمواعيد مستشفى النهارحجز موعد في مستشفى النهاررقم استقبال مستشفى النهارأطباء مستشفى النهارتخصصات مستشفى النهارأقسام مستشفى النهار,Location not found
3,The elite creativity of psychological consultations,https://healtheg.com/ar/Item/292/ابداع-النخبة-للاستشارات-النفسية,"69 Othman Buildings - Mustafa Al -Nahhas St., in front of Al -Muzal Supermarket, Nasr City, Cairo",Cairo-Nasr Country,N/a,,https://healtheg.com//content/images/healtheg_300.png,0224035081 - 01224030027,,"69 Othman Buildings - Mustafa Al -Nahhas St., in front of Al -Muzal Supermarket, Nasr City, Cairo",,Location not found
4,October Clinic,https://healtheg.com/ar/Item/1561/اكتوبر-كلينيك,"Abdel Moneim Riad - Abdel Khaleq Tharwat, First October 6 Department, October 6, Giza, Egypt",Giza-October,N/a,,https://healtheg.com//content/images/healtheg_300.png,0238362724 - 0238362725,,"Abdel Moneim Riad - Abdel Khaleq Tharwat, First October 6 Department, October 6, Giza, Egypt",,Location not found
5,Faith for medical headphones,https://healtheg.com/ar/Item/1614/الايمان-للسماعات-الطبية,"37 Al -Galaa St., Victoria, Egypt",Cairo-Heliopolis,N/a,,https://healtheg.com//content/images/healtheg_300.png,+201287186443,,"37 Al -Galaa St., Victoria, Egypt",,Location not found
6,Ultra Medeserf - UMS,https://healtheg.com/ar/Item/1157/الترا-ميدسيرف---يو-ام-اس,"12 Ramo Gardens Buildings - Omar Bin Al -Khattab St. - Role 2, in front of the Stars Center Mall, Nasr City, Cairo",Cairo-Nasr Country,N/a,,https://healtheg.com//content/images/healtheg_300.png,0223054396,,"12 Ramo Gardens Buildings - Omar Bin Al -Khattab St. - Role 2, in front of the Stars Center Mall, Nasr City, Cairo",,Location not found
7,Al Jazeera Polly Clinic,https://healtheg.com/ar/Item/259/الجزيرة-بولى-كلينك,"3 Ibn Al -Nabih St., behind the Umm Kulthum Hotel and Zamalek, Cairo",Cairo-Zamalek,N/a,,https://healtheg.com//content/images/healtheg_300.png,0227373522 - 0227373544 - 01020004133,,"3 Ibn Al -Nabih St., behind the Umm Kulthum Hotel and Zamalek, Cairo",عن المؤسسةالجزيرة بولي كلينكاول عيادة متتعددة التخصصات في حي الزمالك ،تحت اشراف نخبه من اساتذة الجامعاتتقدم جمييع الخدمات لكافة التخصصات الطبيه بما فيها خدمة المعمل,Location not found
8,The Specialized Association for the improvement of family planning services,https://healtheg.com/ar/Item/1587/الجمعية-التخصصية-لتحسين-خدمات-تنظيم-الاسرة,"19 Al -Tadiyyin Mosque St., Sidi Bishr, Alexandria",Alexandria-Plut,N/a,,https://healtheg.com//content/images/healtheg_300.png,035278070,,"19 Al -Tadiyyin Mosque St., Sidi Bishr, Alexandria",,Location not found
9,Praise be to the physical therapy,https://healtheg.com/ar/Item/1657/الحمد-للعلاج-الطبيعى,"Station of Water Station - Al -Zaydidi Village, Osim, Giza",Giza-Awsim,N/a,,https://healtheg.com//content/images/healtheg_300.png,01283540674,,"Station of Water Station - Al -Zaydidi Village, Osim, Giza",,Location not found
10,Al -Safa,https://healtheg.com/ar/Item/1255/الصفا,"Emergency service, engineers, Giza",Giza-Engineers,N/a,,https://healtheg.com//content/images/healtheg_300.png,16181,,"Emergency service, engineers, Giza",,Location not found
11,Al -Safa Medical Group,https://healtheg.com/ar/Item/3185/الصفا-ميديكال-جروب,"40 Iraq St., close to Mohsen Barakat, Mohandessin, Giza",Giza-Engineers,N/a,,https://healtheg.com//content/images/healtheg_300.png,+201065635333,,"40 Iraq St., close to Mohsen Barakat, Mohandessin, Giza",,Location not found
12,Elite,https://healtheg.com/ar/Item/1257/الصفوة,"Hussein Abbas St., Faisal, Giza",Giza-Faisal,N/a,,https://healtheg.com//content/images/healtheg_300.png,0232243743 - 01067502118,,"Hussein Abbas St., Faisal, Giza",,Location not found
13,Doctor Medical Center,https://healtheg.com/ar/Item/1047/الطبيب-ميديكال-سنتر,"3, Doctor St.",Cairo-New Cairo,N/a,,https://healtheg.com//content/images/healtheg_300.png,0226161840 - +20226175241,,"3, Doctor St.",,"lat: 41.70598009489592, lng: -71.1579614077988"
14,The capital for physical therapy,https://healtheg.com/ar/Item/1632/العاصمة-للعلاج-الطبيعى,"401 b, Faisal St., Faisal, Giza",Giza-Faisal,N/a,,https://healtheg.com//content/images/healtheg_300.png,0235852889,,"401 b, Faisal St., Faisal, Giza",,Location not found
15,Charitable Clinic,https://healtheg.com/ar/Item/1258/العيادة-الخيرية,"Youssef El Jundi St., Zefta, Gharbia",Western-Zefta,N/a,,https://healtheg.com//content/images/healtheg_300.png,0405718251,,"Youssef El Jundi St., Zefta, Gharbia",,Location not found
16,Comprehensive Medical Clinic,https://healtheg.com/ar/Item/62/العيادة-الطبية-الشاملة,"27 Al -Rawda Castle, Manial, Cairo",Cairo-Manial,N/a,,https://healtheg.com//content/images/healtheg_300.png,0223639981,,"27 Al -Rawda Castle, Manial, Cairo",,Location not found
17,Psychological Clinic - Dr. Manal Al -Daghar,https://healtheg.com/ar/Item/1161/العيادة-النفسية---د-منال-الدغار,25 Andalus St.,Alexandria-Abrahamic,N/a,,https://healtheg.com//content/images/healtheg_300.png,035905175 - 01006313619,,25 Andalus St.,,"lat: 30.0995671, lng: 31.3178072"
18,Alpha for specialized clinics,https://healtheg.com/ar/Item/1661/الفا-للعيادات-التخصصية,"193 B Jedrinia, the first gate - next to pharmacies Ali and Ali, Al -Haram, Giza",Giza-the pyramid,N/a,,https://healtheg.com//content/images/healtheg_300.png,0239744079 - 0239743854 - 01095408146 - 01110877702,,"193 B Jedrinia, the first gate - next to pharmacies Ali and Ali, Al -Haram, Giza",,Location not found
19,Eye Consultant Center,https://healtheg.com/ar/Item/1667/المركز-الاستشارى-للعيون,Neighboring,New Eastern Al-Salihiya,N/a,,https://healtheg.com//content/images/healtheg_300.png,0553200061 - 0553203161,,Neighboring,,"lat: 11.42494275, lng: 124.8479050919301"
20,Civilized Islamic Center,https://healtheg.com/ar/Item/1263/المركز-الاسلامى-الحضارى,"Abu Ghaleb village, in front of the Martyrs of the Tenth of Ramadan, Manshiyat Al -Qanater, Giza",Giza-Al-Qanater facility,N/a,,https://healtheg.com//content/images/healtheg_300.png,0238771926,,"Abu Ghaleb village, in front of the Martyrs of the Tenth of Ramadan, Manshiyat Al -Qanater, Giza",,Location not found
21,Islamic Medical Center,https://healtheg.com/ar/Item/1275/المركز-الاسلامى-الطبى,"109 Pyramid St., Al -Haram, Giza",Giza-the pyramid,N/a,,https://healtheg.com//content/images/healtheg_300.png,0233829115,,"109 Pyramid St., Al -Haram, Giza",,Location not found
22,Regional Center for Blood Transport Services in Tanta,https://healtheg.com/ar/Item/3221/المركز-الاقليمى-لخدمات-نقل-الدم-بطنطا,"The extension of Hafez Wahbi St. - Sejger, next to the Educational Buildings Authority, Tanta, Western",Western-Tanta,N/a,,https://healtheg.com//content/images/healtheg_300.png,0403509575 - 0403511554,,"The extension of Hafez Wahbi St. - Sejger, next to the Educational Buildings Authority, Tanta, Western",,Location not found
