hospital_name,specialties,address,city_area
Prof. Ayman Ibrahim Bais,"Tuberculosis and an adult respiratory system, sensitivity and adult immunity, sensitivity and children's immunity, respiratory sensitivity, chest and respiratory system, chest and respiratory system, Alexandria, Sidi Jaber","The East Panorama Building, the third floor, administrative - tram station, Sidi Jaber Al -Sheikh, the highest national bank - Alexandria - Egypt",Alexandria - Sidi Jaber
Tariq Reda nutrition expert,"Extreme feeding and feeding, slimming and feeding, Cairo, Zamalek","Zamalek: Taha Hussein, Zamalek",Cairo - Zamalek
Nutrition expert Muhammad Ibrahim Al -Shafi’i,"Adult feeding and feeding, slimming and feeding, Cairo, Nasr City",Nasr City: Abbas Al -Akkad Street,Cairo - Nasr City
Nutrition expert Muhammad Ibrahim Al -Shafi’i,"Extreme loss and feeding, slimming and feeding, Giza, engineers",Engineers: The League of Arab States,Giza - Engineers
Nutrition expert Muhammad Othman Muhammad,"Extreme feedback and feeding, child feeding and feeding, slimming and feeding, Giza, Sheikh Zayed",Sheikh Zayed: Aquan Mall,Giza - Sheikh Zayed
Psychological center,"I am adults, addiction treatment, family consultations, myself children, myself, Cairo, Nasr City",Nasr City: Energy Street,Cairo - Nasr City
Psychological center,"I am adults, addiction treatment, family consultations, myself children, myself, Cairo, Nasr City",Nasr City: Energy Street,Cairo - Nasr City
Psychological expert Mahmoud Abdel Rahim Ghallab,"Myself are adults, family consultations, myself teenagers, myself, Giza, 6 October","October 6: 766 -Street 19, branch from Al -Khazan Street, Fifth District, 6th of October -near the Nasser Mosque",Giza - 6 October
Marwa Al -Taweel Nutrition Expert,"Extreme feeding and feeding, slimming and feeding, Cairo, Zamalek","Zamalek: Taha Hussein, Zamalek",Cairo - Zamalek
Marwa Noah's nutrition expert,"Extreme feeding and feeding, slimming and feeding, Cairo, Heliopolis","Heliopolis: Nehru, Heliopolis",Cairo - Heliopolis
D.Issam Jouda Hassanein,"Tuberculosis and an adult respiratory system, chest and respiratory system children, sensitivity and adult immunity, respiratory sensitivity, chest and respiratory system, Alexandria, Camp Shezar","59 Omar Lotfi Al -Tarm Street, Arbah Qabnouri - Al -Ibrahimiya - Bab Sharqi Department, Alexandria",Alexandria - Camp Shezar
D.Issam Shalabaya,Belly,71 Street 9 - Maadi - Cairo,Cairo - Maadi
D.Aladdin Ali Abdullah,"General internal, sensitivity and adult immunity, autoimmune diseases, sensitivity and immunity of children, respiratory sensitivity, chest and adult respiratory system, chest and respiratory children, chest and respiratory system, Alexandria, Sidi Jaber","The first floor, the fifth tower, the horoscopes of Sidi Jaber - Sidi Jaber, Alexandria",Alexandria - Sidi Jaber
D.Omar Al -Ghanam,"Genital diseases, adult skin, cosmetic and laser, children's skin, leather, Giza, 6 October",Al -Hosary Square - Baraa Plaza - Tower 2 - Second Round - 6 October - Giza,Giza - 6 October
D.Karim Abdul Mohsen,"Old skin, children's skin, cosmetic and laser, genital diseases, male diseases, leather, Giza, 6 October","The eighth district - Five Stars Mall, first round - the highest children of Rajab - 6 October - Giza",Giza - 6 October
D.Mohammed Salem,"Tuberculosis and an adult respiratory system, chest and respiratory system children, sensitivity and adult immunity, sensitivity and children's immunity, respiratory sensitivity, autoimmune diseases, general internal, breast and respiratory system, Alexandria, Al -Ajmi",Zahra Al -Ajmi towers - above Fathallah Market - Third Role - Hanoville,Alexandria - Al -Ajmi
D.Mohammed Saeed Jumaa,"Old eyes, lizards and correction of vision and white water, eyes, Alexandria, Smouha",29 Fawzi Moaz Street - Smouha - Alexandria,Alexandria - Smouha
D.Muhammad Imran - Hayat Center,"Old skin, children's skin, cosmetic and laser, genital diseases, male diseases, leather, Giza, 6 October","Al -Fateh Buildings, third floor - central axis - 6 October",Giza - 6 October
D.Maha Muhammad,"Gynecology and generation, women's tumors surgery, women and obstetrics, Alexandria, Al -Ajmi","Al -Baytash Street, Main Street - Al -Dour 2 - inside the Al -Baytash Center - Al -Ajmi",Alexandria - Al -Ajmi
D.Hani Shaarawi,"Tuberculosis and an adult respiratory system, chest and respiratory system children, sensitivity and adult immunity, sensitivity and children's immunity, respiratory sensitivity, chest and respiratory system, Alexandria, Cleopatra",251 Port Said Street - Cleopatra - Alexandria,Alexandria - Cleopatra
Dr. Awni Ashkalani,"Facial plastic surgery, obesity and slimming surgery, burn surgery, nose plastic surgery, children's distortions and birth defects, eye plastic surgery, hand surgery, plastic surgery, Giza, engineers",Engineers: League of States,Giza - Engineers
Dr. Sameh Mahmoud Amin,"An adult nose and laxity, hearing and balance disorder, nose surgery and adults and throat, nose, nose and throat of children, nose surgery, permission, children's throat, nose, ears, and throat, Fayoum, Fayoum City",Fayoum,Fayoum - Fayoum City
Dr. Ahmed Al -Sarraji,"Children's teeth, dental cosmetic, radical and nerve filling and treatment, gum treatment, facial and jaws, dental orthodontics, dental fixtures, elderly teeth, dental rays, dental implant, adult teeth, teeth, Alexandria, swords",Swords: Amin Hassouneh,Alexandria - swords
Dr. Amir Kamal,"Extreme feeding and feeding, adult physical therapy, physiotherapy, children, slimming and feeding children",Pyramid: Salah Salem,Giza - the pyramid
Dr. Hassan Wahdan,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, joint change, hand and shoulder bones, adult orthopedic surgery, pediatric orthopedic surgery, bones, Dakahlia, Mansoura",Al -Mansoura: Midal Train Station Street,Dakahlia - Mansoura
Dr. Tariq Nabil,"Stadium and endoscopy injuries, bone distortions, foot and ankle bones, joint change, adult bones, adult orthopedic surgery, bones, Assiut, Assiut Center",Assiut Center: Mohamed Farid St.,Assiut - Assiut Center
Dr. Muhammad Al -Banhawy,"An adult nose, an adult larynx, nose, permission, and throat of children, nose surgery and adults, adult throat, nose surgery, children's lax",Mansoura: Al -Habi Land Square,Dakahlia - Mansoura
Dr. Mohammed Zayed,"Children, newborn, sensitivity and immunity of children, slimming and feeding children, children and newborns, Giza, engineers",Mohandessin: Sudan Street,Giza - Engineers
Dr. Mohammed Zayed,"Children, newborn, sensitivity and immunity of children, slimming and feeding children, children and newborns, Giza, engineers",Mohandessin: Sudan Street,Giza - Engineers
Dr. Muhammad Al -Jundi,"Adult teeth, dental cosmetic, radical and nerve filling and treatment, dental installations, dental implants, facial and jaws, children's teeth, gum treatment, dental calendar, elderly teeth, teeth, teeth, Giza, Faisal",Faisal: Faisal Street,Giza - Faisal
Dr. Tamer Khamis,"Sugar and endocrine glands, adult liver, digestive system and adults, general internal, sensitivity and adult immunity, adult heart, sensitivity and children's immunity, chest and adult respiratory system, chest and respiratory children, internal, lake, Damanhour",Damanhour: The Religious Institute Street,Lake - Damanhour
Dr. Tamer Abdul Rahman Muhammad,"Adulty teeth, dental orthodontics, radical and nerve filling, dental cosmetic, dental implant, facial and jaws, gum treatment, dental, teeth, Giza, Sheikh Zayed",Sheikh Zayed: - Bevirley Hills - Gate 9,Giza - Sheikh Zayed
Dr. George Imad Shaker,"Sugar and deaf glands, adults, adults, adult kidneys, digestive system and adults, general internal, adult heart, adult blood diseases, internal, oriental, Zagazig",Zagazig,Eastern - Zagazig
Dr. Hamada Zuhri,"Adult brain and nerves, brain and nerves, brain and nerves, Dakahlia, Mansoura",Mansoura: Al -Habi Land Square,Dakahlia - Mansoura
Dr. Khaled Hamdi Eliwa,"Male diseases, male and sterility, Giza, engineers",Mohandessin: Ahmed Orabi Street,Giza - Engineers
Dr. Abdul Moaty Kiosk,"Old heart, internal, Cairo, Marj",Marj: Petroleum,Cairo - Marg
Dr. Alaa Al -Asheeri,"Diseases of women and obstetrics, women and obstetrics, Cairo, the assembly",Assembly: 90 North Street,Cairo - Assembly
