Name,Services,Location,City/Area,Detail Address,Telephone,Image URL,Detail Page URL
Top residents of radiology and analyzes,Magnetic resonance | Threesome and Sonar Sonar Sonar | Sonar | Nasr City,"16 Al -Nuzha, Golf - the Hour Square, the highest Vodafone Egypt - Nasr City, Cairo Governorate",Cairo - Nasr City,,,,https://healtheg.com/ar/Item/37297/توب-سكان-لاب-للأشعة-والتحاليل
Dr. Ibrahim Labda,Hahia,"El Gomhoria, Haha, Eastern",Eastern - Hehia,,,,https://healtheg.com/ar/Item/34009/د-ابراهيم-لبدة
Dr. Ahmed Al -Ruba,Faisal,"University Tower - Abdel -Al Jeda St., Faisal, Giza",Giza - Faisal,,,,https://healtheg.com/ar/Item/33977/د-احمد-الروبى
Dr. Ahmed Anwar Dabour,Badrashin,"Al -Huda Tower - Egypt, Assiut Road, Badrashin, Giza",Giza - Badrashin,,,,https://healtheg.com/ar/Item/33981/د-احمد-انور-دبور
Dr. Ahmed Suwaidan,Status,"Station, Al -Manzala, Dakahlia",Dakahlia - Manzala,,,,https://healtheg.com/ar/Item/33985/د-احمد-سويدان
Dr. Ahmed Othman Abu Al -Ezz,Zagazig,"6 Shaheen St. - Al -Montazah - Floor 3, Zagazig, Eastern",Eastern - Zagazig,,,,https://healtheg.com/ar/Item/33998/د-احمد-عثمان-ابو-العز
Dr. Ahmed Essam Al -Hakim,Damanhur,"The land of Al -Miri, Damanhour, Al -Buhaira",Lake - Damanhour,,,,https://healtheg.com/ar/Item/34000/د-احمد-عصام-الحكيم
Dr. Osama Lotfy Al -Abed,Damanhur,"The Bar Association is branched from Ahmed Orabi St., the top of the Khalil Pharmacy, Damanhour, Al -Buhaira",Lake - Damanhour,,,,https://healtheg.com/ar/Item/34010/د-اسامة-لطفى-العبد
Dr. Ashraf Al -Jawli,Shubra Egypt,"78 Touson St., Shubra, Cairo",Cairo - Shubra Egypt,,,,https://healtheg.com/ar/Item/33979/د-اشرف-الجاولى
Dr. Al -Hami Absoud,downtown,"6 Ramses Building - Ramses Square, the highest Kufi Shop Azouz, Downtown, Cairo",Cairo - Downtown,,,,https://healtheg.com/ar/Item/33997/د-الهامى-عبسود
Dr. Sameh described Toma,Heliopolis,"129 Al -Nuzha St., Heliopolis, Cairo",Cairo - Heliopolis,,,,https://healtheg.com/ar/Item/34039/د-سامح-وصفى-توما
Dr. Saeed Abdel Moneim,Abu Hammad,"Port Said St., Abu Hammad, Sharqia",East - Abu Hammad,,,,https://healtheg.com/ar/Item/33994/د-سعيد-عبد-المنعم
Dr. Salwa Ahmed Shafei,Engineers,"56 Sudan St., Mohandessin, Giza",Giza - Engineers,,,,https://healtheg.com/ar/Item/33986/د-سلوى-احمد-شافعى
Dr. Salim Wadih Maraca,Heliopolis,"2 Abdel Aziz Ismail St., Heliopolis, Cairo",Cairo - Heliopolis,,,,https://healtheg.com/ar/Item/34038/د-سليم-وديع-مرقص
Dr. Samir Abdul Malik,Heliopolis,"10 Baghdad St., Heliopolis, Cairo",Cairo - Heliopolis,,,,https://healtheg.com/ar/Item/33993/د-سمير-عبد-الملك
